ID,Product Name,Shopee Link,Lazada Link,Facebook Link
x23,X-23,https://s.shopee.ph/70ImlDTGNm,https://s.lazada.com.ph/s.Z6fkcg,https://www.facebook.com/share/r/1LS9YRadUz
logan,Old Man Logan,https://s.shopee.ph/AUsfBO0Xk4,https://s.lazada.com.ph/s.Z65e1P,https://www.facebook.com/reel/1377294564245331
wolverine,Wolverine,https://shopee.ph/product/432518268/44863996301/,https://www.lazada.com.ph/products/i15553338942.html?spm=a1zawj.24863640.table_all.37.53721e13BQsmqj,https://www.facebook.com/share/r/1EeHvRnPyZ
dracula,Dracula,https://s.shopee.ph/80BVORLO1Q,https://s.lazada.com.ph/s.Z6JtYm,https://www.facebook.com/reel/1662262068199739
freddie,Freddie Mercury,https://shopee.ph/product/432518268/56762312840/,https://www.lazada.com.ph/products/i15527458059.html?spm=a1zawj.24863640.table_online_product.37.ede81e13LpuwTQ,https://www.facebook.com/share/r/1D4WXhm8Ew/
spiderman2099,Spiderman 2099,https://s.shopee.ph/AKZR1TFIAL,https://s.lazada.com.ph/s.Z6rsAV,https://www.facebook.com/share/r/1EefCQpttb/
harley,Harley Quinn,https://s.shopee.ph/9043YOT93B,https://s.lazada.com.ph/s.Z6ryDV,https://www.facebook.com/share/r/1JRgqTJZwY/
penguin,The Penguin,https://shopee.ph/product/432518268/51105986208/,https://s.lazada.com.ph/s.Z6IbZh,https://www.facebook.com/share/r/1EA4PLUSap/
chernabog,Chernabog,https://shopee.ph/product/432518268/56853757127/,https://s.lazada.com.ph/s.Z6IspG,https://www.facebook.com/share/r/17w2sPsdob/
cratchit,Mrs. Cratchit,https://shopee.ph/product/432518268/40077252435/,https://s.lazada.com.ph/s.Z6IvBR,https://www.facebook.com/share/r/1E3pq7StoP/
blackmanta,Black Manta,https://shopee.ph/product/432518268/56205218914/,https://s.lazada.com.ph/s.Z6IBh6,https://www.facebook.com/share/r/1FGpQo1Gh5/
school,Schoolhouse Rock,https://shopee.ph/product/432518268/41730102653/,https://s.lazada.com.ph/s.Z6s1HR,https://www.facebook.com/share/r/1apnoYJqq5/
